country,iso3,lat,lon,country_key
Algeria,DZA,28.05599342211892,2.6311884137834727,algeria
Angola,AGO,-12.270613926548416,17.5317833661526,angola
Benin,BEN,9.635612234306963,2.3266146447462805,benin
Botswana,BWA,-22.16524478709958,23.808612894002028,botswana
British Indian Ocean Territory,IOT,-7.33059326070352,72.44541071632787,british_indian_ocean_territory
Burkina Faso,BFA,12.27072624878599,-1.7611383121238744,burkina_faso
Burundi,BDI,-3.3592151438157476,29.875228417077658,burundi
Côte d’Ivoire,CIV,7.625878368311423,-5.569102942735855,c_te_d_ivoire
Cabo Verde,NA,NA,NA,cabo_verde
Cameroon,CMR,5.681168003162897,12.733943967668145,cameroon
NA,NA,16.5388,-23.0418,cape_verde
Central African Republic,CAF,6.572299164266934,20.461832981489685,central_african_republic
Chad,TCD,15.27535940976938,18.634997495747648,chad
Comoros,COM,-11.877908568325992,43.68165678594181,comoros
Congo (DRC),COD,-2.865488031406876,23.63774723807929,congo_drc
Congo (Republic),COG,-0.836992413922509,15.221142337405276,congo_republic
Djibouti,DJI,11.748306715529626,42.56007887989951,djibouti
Egypt,EGY,26.4598029034498,29.878269665945982,egypt
Equatorial Guinea,GNQ,1.7054056331507816,10.341727795299567,equatorial_guinea
Eritrea,ERI,15.361124461746678,38.85727395225949,eritrea
Eswatini,NA,NA,NA,eswatini
Ethiopia,ETH,8.614400650469033,39.60979228583622,ethiopia
French Southern and Antarctic Lands,ATF,-49.26831718728999,69.19988471291948,french_southern_and_antarctic_lands
Gabon,GAB,-0.5864465779017811,11.7887417210203,gabon
Gambia,GMB,13.450953489963174,-15.396323337399142,gambia
Ghana,GHA,7.947699712584653,-1.2169896404332603,ghana
Guinea,GIN,10.437318748803069,-10.934245987592456,guinea
Guinea-Bissau,GNB,12.047750788070472,-14.949924057207486,guinea_bissau
Heard I. and McDonald Islands,HMD,-53.08726513488923,73.5203521526315,heard_i_and_mcdonald_islands
Indian Ocean Territories,IOA,-10.657154104335804,104.86285796084968,indian_ocean_territories
Kenya,KEN,0.5994488365065361,37.79622826715814,kenya
Kingdom of eSwatini,SWZ,-26.557546489339305,31.48186961105198,kingdom_of_eswatini
Lesotho,LSO,-29.5790637000742,28.228962109094883,lesotho
Liberia,LBR,6.451957665318154,-9.319832618453036,liberia
Libya,LBY,27.016716392720845,18.06679321821868,libya
Madagascar,MDG,-19.31648369857136,46.742890054388134,madagascar
Malawi,MWI,-13.204425371177711,34.2828475261884,malawi
Mali,MLI,17.31513901451203,-3.5904730091616717,mali
Mauritania,MRT,20.22069376776787,-10.369916735172332,mauritania
Mauritius,MUS,-20.277619585001833,57.57126469549003,mauritius
Morocco,MAR,29.76685913718276,-8.727847752068008,morocco
Mozambique,MOZ,-17.195857537030033,35.602727744192414,mozambique
Namibia,NAM,-22.069690013855062,17.195019957489034,namibia
Niger,NER,17.412007962950746,9.33161007434546,niger
Nigeria,NGA,9.590945570096183,8.079586854238341,nigeria
Republic of Cabo Verde,CPV,15.95330551583823,-23.956544022658164,republic_of_cabo_verde
Rwanda,RWA,-1.9903249497732192,29.919982880348805,rwanda
São Tomé and Principe,STP,0.4438400918547908,6.724216359640079,s_o_tom_and_principe
Sahrawi Arab Democratic Republic,SAH,24.211729250060863,-12.271496993232056,sahrawi_arab_democratic_republic
Saint Helena,SHN,-12.379242477469315,-9.674197527779429,saint_helena
Sao Tome and Principe,NA,NA,NA,sao_tome_and_principe
Senegal,SEN,14.3648110931751,-14.469447947453547,senegal
Seychelles,SYC,-4.6609897523017825,55.47602781845583,seychelles
Sierra Leone,SLE,8.56249232471683,-11.792611849827932,sierra_leone
Somalia,SOM,4.7394062218941135,45.67929283895279,somalia
Somaliland,SOL,9.735702368865011,46.25301660804088,somaliland
South Africa,ZAF,-28.974208514441116,25.193438224147595,south_africa
South Sudan,SDS,7.308696945421357,30.2513338314292,south_sudan
Sudan,SDN,15.967966109559557,29.90746524572068,sudan
NA,NA,-26.5225,31.4659,swaziland
Tanzania,TZA,-6.268247790104617,34.80181064134596,tanzania
Togo,TGO,8.520779784822718,0.963859659570673,togo
Tunisia,TUN,34.088955486452505,9.556128801622371,tunisia
Uganda,UGA,1.274231547393379,32.36866536956964,uganda
Western Sahara,SAH,24.211729250060863,-12.271496993232056,western_sahara
Zambia,ZMB,-13.455525493308905,27.808581875598183,zambia
Zimbabwe,ZWE,-18.997046809067218,29.851013379676168,zimbabwe
Africa,AFR,1.65,17.32,africa
