country,demonym
Algeria,Algerian
Angola,Angolan
Benin,Beninese
Botswana,Motswana
Burkina Faso,Burkinabe
Burkina Faso,Burkinabè
Burundi,Burundian
Cabo Verde,Cape Verdean
Cameroon,Cameroonian
Central African Republic,Central African
Chad,Chadian
Comoros,Comorian
Democratic Republic of the Congo,Congolese
Congo Republic,Congolese
Côte d’Ivoire,Ivorian
Djibouti,Djiboutian
Egypt,Egyptian
Equatorial Guinea,Equatorial Guinean
Eritrea,Eritrean
Eswatini,Swazi
Ethiopia,Ethiopian
Gabon,Gabonese
Gambia,Gambian
Ghana,Ghanaian
Guinea,Guinean
Guinea-Bissau,Bissau-Guinean
Kenya,Kenyan
Lesotho,Basotho
Liberia,Liberian
Libya,Libyan
Madagascar,Malagasy
Malawi,Malawian
Mali,Malian
Mauritania,Mauritanian
Mauritius,Mauritian
Morocco,Moroccan
Mozambique,Mozambican
Namibia,Namibian
Niger,Nigerien
Nigeria,Nigerian
Rwanda,Rwandan
Sao Tome and Principe,São Toméan
Senegal,Senegalese
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Somalia,Somali
South Africa,South African
South Sudan,South Sudanese
Sudan,Sudanese
Tanzania,Tanzanian
Togo,Togolese
Tunisia,Tunisian
Uganda,Ugandan
Western Sahara,Sahrawi
Zambia,Zambian
Zimbabwe,Zimbabwean
